|Time (s)|Event|Eff.Win. (MSS)|cwnd (MSS)|RTT (s)|sRTT (s)|TOut (s)
|--------|-----|--------------|----------|-------|--------|-------|
135.03|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
136.03|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
136.02|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
137.06|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
137.10|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
138.06|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
138.11|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
139.01|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
139.12|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
140.06|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
140.09|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
141.10|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
141.15|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
142.09|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
142.16|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
143.06|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
143.15|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
143.93|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
144.05|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
144.10|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
144.98|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
145.08|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
145.11|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
146.09|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
146.12|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
147.10|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
147.12|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
148.16|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
148.16|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
149.17|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
149.20|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
150.10|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
150.20|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
151.15|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
151.16|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
152.19|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
152.20|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
