   6.21 M-V:  0.003 fd=   0 aq=    0KB vq=   26KB sq=    0B f=0/0   
   6.24 M-V:  0.003 fd=   0 aq=    0KB vq=   26KB sq=    0B f=0/0   
   6.27 M-V:  0.003 fd=   0 aq=    0KB vq=   30KB sq=    0B f=0/0   
   6.31 M-V:  0.003 fd=   0 aq=    0KB vq=   32KB sq=    0B f=0/0   
   6.34 M-V:  0.003 fd=   0 aq=    0KB vq=   33KB sq=    0B f=0/0   
   6.37 M-V:  0.003 fd=   0 aq=    0KB vq=   33KB sq=    0B f=0/0   
   6.40 M-V:  0.003 fd=   0 aq=    0KB vq=   32KB sq=    0B f=0/0   
   6.43 M-V:  0.003 fd=   0 aq=    0KB vq=   32KB sq=    0B f=0/0   
   6.46 M-V:  0.003 fd=   0 aq=    0KB vq=   35KB sq=    0B f=0/0   
   6.49 M-V:  0.003 fd=   0 aq=    0KB vq=   34KB sq=    0B f=0/0   
   6.52 M-V:  0.003 fd=   0 aq=    0KB vq=   35KB sq=    0B f=0/0   
   6.56 M-V:  0.003 fd=   0 aq=    0KB vq=   34KB sq=    0B f=0/0   
   6.59 M-V:  0.003 fd=   0 aq=    0KB vq=   46KB sq=    0B f=0/0   
   6.62 M-V:  0.003 fd=   0 aq=    0KB vq=   33KB sq=    0B f=0/0   
   6.65 M-V:  0.003 fd=   0 aq=    0KB vq=   35KB sq=    0B f=0/0   
   6.68 M-V:  0.003 fd=   0 aq=    0KB vq=   36KB sq=    0B f=0/0   
   6.71 M-V:  0.003 fd=   0 aq=    0KB vq=   36KB sq=    0B f=0/0   
   6.74 M-V:  0.003 fd=   0 aq=    0KB vq=   35KB sq=    0B f=0/0   
   6.77 M-V:  0.003 fd=   0 aq=    0KB vq=   38KB sq=    0B f=0/0   
   6.81 M-V:  0.003 fd=   0 aq=    0KB vq=   40KB sq=    0B f=0/0   
   6.84 M-V:  0.003 fd=   0 aq=    0KB vq=   41KB sq=    0B f=0/0   
   6.87 M-V:  0.003 fd=   0 aq=    0KB vq=   38KB sq=    0B f=0/0   
   6.90 M-V:  0.003 fd=   0 aq=    0KB vq=   37KB sq=    0B f=0/0   
   6.93 M-V:  0.003 fd=   0 aq=    0KB vq=   25KB sq=    0B f=0/0   
   6.96 M-V:  0.003 fd=   0 aq=    0KB vq=   43KB sq=    0B f=0/0   
   6.99 M-V:  0.004 fd=   0 aq=    0KB vq=   43KB sq=    0B f=0/0   
   7.02 M-V:  0.004 fd=   0 aq=    0KB vq=   42KB sq=    0B f=0/0   
   7.06 M-V:  0.004 fd=   0 aq=    0KB vq=   39KB sq=    0B f=0/0   
   7.09 M-V:  0.004 fd=   0 aq=    0KB vq=   39KB sq=    0B f=0/0   
   7.12 M-V:  0.004 fd=   0 aq=    0KB vq=   25KB sq=    0B f=0/0   
   7.15 M-V:  0.004 fd=   0 aq=    0KB vq=   25KB sq=    0B f=0/0   
   7.18 M-V:  0.004 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   7.21 M-V:  0.004 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   7.24 M-V:  0.004 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   7.27 M-V:  0.004 fd=   0 aq=    0KB vq=    3KB sq=    0B f=0/0   
   7.31 M-V:  0.004 fd=   0 aq=    0KB vq=   44KB sq=    0B f=0/0   
   7.34 M-V:  0.004 fd=   0 aq=    0KB vq=   46KB sq=    0B f=0/0   
   7.37 M-V:  0.004 fd=   0 aq=    0KB vq=   46KB sq=    0B f=0/0   
   7.40 M-V:  0.004 fd=   0 aq=    0KB vq=   56KB sq=    0B f=0/0   
   7.43 M-V:  0.004 fd=   0 aq=    0KB vq=   16KB sq=    0B f=0/0   
   7.46 M-V:  0.004 fd=   0 aq=    0KB vq=   25KB sq=    0B f=0/0   
   7.49 M-V:  0.004 fd=   0 aq=    0KB vq=   23KB sq=    0B f=0/0   
   7.52 M-V:  0.004 fd=   0 aq=    0KB vq=   30KB sq=    0B f=0/0   
   7.56 M-V:  0.004 fd=   0 aq=    0KB vq=   28KB sq=    0B f=0/0   
   7.59 M-V:  0.004 fd=   0 aq=    0KB vq=   28KB sq=    0B f=0/0   
   7.62 M-V:  0.004 fd=   0 aq=    0KB vq=   28KB sq=    0B f=0/0   
   7.65 M-V:  0.004 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   7.68 M-V:  0.004 fd=   0 aq=    0KB vq=   26KB sq=    0B f=0/0   
